stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0210KAD,0,0,0
0210KAF,184,1156,4410
0210KAH,202,1521,10193
0210KBM,10636,67016,280948
0210KBO,0,0,0
0210KCA,5192,30697,140927
0210KDO,0,0,0
0210KEB,378,1586,4715
0210KJA,1240,7823,35289
0210KLI,0,0,0
0210KPO,0,0,0
0210KRB,14393,69501,160015
0210KU.,197,1460,6016
0210KWD,0,0,0
0210KYR,0,0,0
0210KYS,377,2359,9519
0210LGC,1071,6799,27371
0210LH',0,0,0
0210LOA,5232,30810,139231
0210LSL,6148,33371,146818
0210LUI,1240,9949,53356
0210MBL,0,0,0
0210MET,3340,19408,56472
0210MF,2228,17099,111269
0210MGC,826,12139,82998
0210MIN,184,1156,4535
0210MNG,0,0,0
0210MQT,0,0,143
0210MSL,808,12063,82911
0210MTG,4067,29482,107178
0210NAK,0,0,0
0210NAM,3590,24176,77102
0210NAS,3340,18007,58253
0210NCY,378,2367,8531
0210NGE,56,475,4517
0210NGR,1240,7686,26532
0210NID,5137,30316,142985
0210NIG,0,0,0
0210NIM,0,0,0
0210NIR,4022,27526,133589
0210NRS,7545,51955,242036
0210NTR,538,3365,13353
0210NUR,1240,7147,31977
0210NWK,218,1603,10764
0210OIK,184,1156,4624
0210OLT,0,0,0
0210ONR,0,0,0
0210OOI,0,0,0
0210OON,0,0,0
0210OUN,6616,38589,150954
0210OUS,0,0,0
0210OUU,0,0,0
0210-P0,72,451,2120
0210PA.,184,1156,4624
0210PAS,2278,13304,52527
0210PMH,5115,38647,159714
0210PMS,5382,38024,154963
0210PNG,1461,9617,68983
0210PPS,2362,15353,56867
0210PRS,0,0,0
0210PSK,468,2999,9945
0210PYS,72,451,1805
0210RAO,184,1193,5770
0210RAT,2503,13425,67708
0210RBA,0,0,0
0210RBU,0,0,0
0210RIH,7824,47320,179097
0210RMT,2897,14150,52357
0210RNA,0,12,1684
0210RND,8250,49038,210519
0210RSB,2458,13909,50313
0210RSC,3993,27522,131822
0210RSI,0,0,675
0210RV2,10836,63987,248495
0210RYS,2618,13588,51378
0210SAE,1774,9602,40844
0210SAI,0,0,0
0210SAO,2404,13769,50063
0210SAP,6006,32928,145689
0210SAR,2242,12906,62533
0210SBA,377,2359,9438
0210SEW,0,0,0
0210SHA,217,1503,6231
0210SKA,7824,51883,215373
0210SMB,1240,7825,35900
0210SMW,383,3792,17288
0210SRA,2295,14057,56305
0210S/T,2344,15556,66893
0210STD,2314,13398,51324
0210SUN,1358,8492,26810
0210SUR,5516,31571,147004
0210TAE,2445,13286,66856
0210TDL,1067,6782,27369
0210TEE,7733,39086,159635
0210TER,14222,75876,171684
0210TGA,0,0,0
0210TIB,0,0,0
0210TIG,0,0,0
0210TMR,2640,13590,51357
0210TRT,0,0,0
